pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_CARDIAC_MUSCLE_TISSUE_REGENERATION	1	0.24098097145929526	1.387421311785826	1.0	21.29	{'YAP1;CDKN1A;RUNX1;CDKN1B'}
GOBP_REGULATION_OF_ENDOCYTIC_RECYCLING	1	0.24088217351110136	1.38764925235721	1.0	57.59	{'ARHGAP1;RAB11B;GRIPAP1;INPP5F;EHD2;ATP9A;ZDHHC2;EHD1;SORL1;BVES;PLA2G4E;ARHGAP44;AKAP5'}
GOBP_CHROMOSOME_LOCALIZATION_TO_NUCLEAR_ENVELOPE_INVOLVED_IN_HOMOLOGOUS_CHROMOSOME_SEGREGATION	1	0.24087087641077343	1.3877887461540719	1.0	37.17	{'TERF1;MLH1;UBE2B;SUN1;ATM'}
GOBP_CHONDROITIN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS	1	0.2403030981459939	1.3884876117165705	1.0	76.78	{'B3GAT2;EXT1;CSGALNACT2;XYLT2;CHST15;SPOCK3;PXYLP1;DSE;CYTL1;NDNF;B3GALT6;CHPF2;CHST7;CHSY1;UGDH;CHSY3;IDUA;CHST11;SPOCK2;DSEL;CHST12;B3GAT3;DCN;CHPF;EGFLAM;CHST9;CSGALNACT1;B3GAT1;XYLT1;CHST3;HYAL1;BGN'}
GOBP_REGULATION_OF_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION	1	0.24009374464587477	1.3888441590062	1.0	47.78	{'ARFIP1;ABI2;BRK1;GMFB;CYFIP1;FCHSD2;AP1AR;WASL;CORO1B;NCKAP1;HIP1R;WASF2;WASF3;ARF1'}
GOBP_CELL_DEATH_IN_RESPONSE_TO_OXIDATIVE_STRESS	1	0.23895970146193068	1.3900847198842758	1.0	78.24	{'NONO;REST;FZD1;LANCL1;MCL1;FBXO7;SFPQ;RIPK1;SIRT1;PINK1;ARL6IP5;NFE2L2;MAP3K5;GBA;FOXO3;BAG5;PARP1;HTRA2;UBQLN1;PML;STK24;PAWR;JAK2;CTNNB1;MAPK7;ABL1;HDAC6;PRKCD;DIABLO;P4HB;OXR1;NCOA7;PDCD10;STK25;TSC1;SLC1A1;PDE8A;TBC1D24;FBXW7;PARK7;HIF1A;IL10;TRAP1;FYN;HSPB1;AKT1;TRPM2;HGF;MET;TLR4;RNF112;SOD2;GPR37;TLR6;LRRK2;RACK1;NR4A3;NME5;CYP1B1;BCL2;TNF;GPR37L1;STK26;TXN;NOL3;SOD1;GSKIP;SIGMAR1;MELK;NOX1;PRODH;MIR34A;SLC7A11;MIR21;GFER;PPIA;PYCR1;ZNF622'}
GOBP_NEGATIVE_REGULATION_OF_MITOPHAGY	1	0.23894091425076738	1.3902353211845035	1.0	50.49	{'RNF41;USP30;TIGAR;TP53;TSC2'}
GOBP_NEURAL_PRECURSOR_CELL_PROLIFERATION	1	0.23863210223197498	1.390658993298783	1.0	81.51	{'ORC3;HOOK3;FRS2;IFT20;NAP1L1;APPL2;KCTD13;KDM1A;TOX;PAFAH1B1;KDM2B;NUMB;RAB10;LYN;ILK;ATF5;BLOC1S2;TEAD3;DAGLB;NDE1;FOXO3;SPINT1;RYK;SLC6A4;NDUFS2;DISC1;CEP120;CTNNA1;SLC16A2;DOCK7;PCM1;NF1;RERE;CTNNB1;FZD6;RHOA;LRP2;NF2;KIF14;NOTCH1;RPGRIP1;GNAI2;EML1;ZNF335;ARHGEF2;DAGLA;TP53;DIXDC1;HIF1A;ID4;PLXNB2;RORA;PTBP2;NUMBL;ASPM;DBN1;FZD3;SOX5;FOXO1;DMRTA2;NES;FGF13;ID2;RACGAP1;LEF1;WNT5A;AKNA;SIRT2;GLI3;FGFR2;SHCBP1;PTPRZ1;LRRK2;FZD9;SMARCD3;ARTN;GLI1;ADGRG1;TARBP2;SPINT2;EGF;GPR37L1;VEGFA;SMO;HHIP;WDR62;PTN;BTG2;CDH2;ELL3;GATA2;MELK;CX3CL1;LIMS2;ASCL1;POU3F2;PROX1;FGF2;MDK;ZNF503;DLL4;EPHB1;SHH;IGF2BP1;PSMG1;CX3CR1;VEGFC;TMEM14B'}
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_OXIDATIVE_STRESS	1	0.23809082232669454	1.3914958716038803	1.0	28.96	{'RIPK1;SELENON;FOXO3;PAWR;ABL1;HDAC6'}
GOBP_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY	1	0.23798740817217093	1.3914763024865944	1.0	51.14	{'MCM9;ETAA1;ZNF830;MRE11;PRIMPOL;SMARCAL1;BOD1L1;NUCKS1;DONSON;FAM111A;CDK9;EXD2;WRN;SLFN11;RFWD3;ATRX;FANCM;SETMAR;ATR;MMS22L;ZRANB3;TIPIN;THOC1;POLE;SAMHD1;ZGRF1;BRCA2;POLD1;DNA2;BLM;GEN1;TIMELESS'}
GOBP_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT	1	0.23779231360016662	1.3919347564606723	1.0	28.09	{'SOCS5;VHL;GGNBP2;TGFB1;OCIAD1;OSBP;STAMBP;PARP9;OCIAD2;CTR9;NLK;STAT3;PARP14;CRLF3;IL10RB;CNOT7;NMI;PIAS1;SOCS6;STAT5B;ARL2BP;PKD2;LYN;STAT6;ADIPOR1;PTPN2;PIGU;GADD45A;STAT2;TNFRSF1A;PIBF1;IFNAR2;FER;CLCF1;PPP2R1A;INPP5F;SOCS2;JAK1;DOT1L;PWP1;PTPRT;JAK3;IL23A;PPP2CA;JAK2;LEPROT;HDAC2;STAT5A;TYK2'}
GOBP_REGULATION_OF_SPHINGOLIPID_BIOSYNTHETIC_PROCESS	1	0.23771147742605403	1.3923749692947491	1.0	29.11	{'PRKAA1;ORMDL1;SAMD8;ORMDL3;ORMDL2;SIRT3;PRKCD'}
GOBP_ESTABLISHMENT_OF_EPITHELIAL_CELL_APICAL_BASAL_POLARITY	1	0.2376358206828804	1.3923362895290203	1.0	59.49	{'IFT20;TTC8;CAMSAP3;SLC9A3R1;EZR;MYO9A;OPHN1;PTK7;RHOA;MSN;CDC42;FAT1;SH3BP1;RAP2A;WNT5A'}
GOBP_GLUTAMATE_METABOLIC_PROCESS	1	0.23759272779841253	1.3922606759665628	1.0	73.99	{'SLC25A12;GLUD2;GOT2;GLUL;BLOC1S6;ALDH18A1;GLUD1;GOT1;GCLM;ADHFE1;ALDH5A1;NAGS;FPGS;MTHFS;GLS;ALDH4A1;OAT;GLS2;GCLC;GGT1;GAD1;AADAT;AMDHD1;PRODH;SLC7A11'}
GOBP_T_HELPER_1_CELL_DIFFERENTIATION	1	0.236087637638517	1.3941492826670763	1.0	59.23	{'RELB;SOCS5;MTOR;STAT6;TMEM98;JAK3;IL4R;SPN;ANXA1;CRACR2A;HLX;HMGB1;CD80;RIPK2;IL18R1;SEMA4A;LEF1'}
GOBP_POSITIVE_REGULATION_OF_ERAD_PATHWAY	1	0.23562278635157174	1.3947709904705583	1.0	25.86	{'UBQLN2;RNF185;ATXN3;RNFT1;NFE2L2;SGTA;UBQLN1;BAG6'}
GOBP_PROTEIN_DEPALMITOYLATION	1	0.2355571757711659	1.3949549133212604	1.0	64.88	{'ABHD13;PPT1;ABHD17B;ABHD10;ABHD12;ABHD17C;LYPLAL1;LYPLA1;LYPLA2;ABHD17A'}
GOBP_MITOCHONDRIAL_RNA_3_END_PROCESSING	1	0.2355300823262025	1.3952324285780966	1.0	11.23	{'TRNT1;PNPT1;SUPV3L1'}
GOBP_PROTEIN_HETEROTETRAMERIZATION	1	0.2354725380057084	1.3951709857314332	1.0	29.21	{'CPSF6;CPSF7;PKD2;NUDT21;CBR4;FARSB;FARSA;RRM1'}
GOBP_REGULATION_OF_RNA_BINDING	1	0.23467550493990516	1.39624448109396	1.0	58.64	{'NUCKS1;FMR1;CDK9;CARM1;NCBP1;EIF4A3;EIF4G1;EIF3C;EIF3D;GEMIN2;EIF3E'}
GOBP_REGULATION_OF_TRANSCRIPTION_OF_NUCLEOLAR_LARGE_RRNA_BY_RNA_POLYMERASE_I	1	0.2346116427880266	1.396442268034855	1.0	46.64	{'NCL;MTOR;DEDD;NOL11;PWP1;SMARCB1;PIH1D1;IPPK;SMARCA4'}
GOBP_REGULATION_BY_VIRUS_OF_VIRAL_PROTEIN_LEVELS_IN_HOST_CELL	1	0.2345299033242007	1.3966587784042104	1.0	57.92	{'TBC1D20;STAU1;DDB1;HACD3;DYNLT1;STAT1;IFIT1'}
GOBP_INTRACELLULAR_LIPID_TRANSPORT	1	0.23411483622308957	1.397196205661821	1.0	52.33	{'ARL8B;OSBP;PLEKHA8;PLEKHA8P1;NUS1;ABCD4;LRP6;LDLRAP1;STARD4;SCP2;ARV1;PIP4K2A;TMEM41B;CPT2;SERAC1;NPC1;VPS4A;LDLR;CES1;ABCA1;ABCD3;GRAMD1C;OSBPL2;ANXA2;GRAMD1A;ABCD1;SLC25A20;TPCN2;CPT1A'}
