	signed_agg_ranks
HLA-B	-15538
CELF4	-15536
GRID1	-15533
KIAA1586	-15526
GIGYF1	-15519
NTRK3	-15506
DDX53	-15505
HTR1B	-15490
DDC	-15489
GLRA2	15482
TET3	-15480
KDM5B	-15475
CHD3	-15472
TFB2M	15447
SNTG2	15432
TSC2	-15421
KDM1B	15410
CTNNA2	-15395
EPC2	-15348
MUC12	15317
UBN2	-15307
EN2	-15296
SLC35B1	15294
ANK3	-15286
EFR3A	-15250
EP300	-15182
FAM98C	15181
DSCAM	-15167
PHF12	-15158
USP15	-15148
DPYSL3	-15122
CHD1	-15114
ADRB2	14999
DMD	-14995
OR2M4	-14905
SLC12A5	-14457
SHANK3	-14401
CCNG1	14367
RALA	-14196
HDAC4	-14162
PPFIA1	-14083
GNB1L	-14067
ASTN2	-14059
MAP1A	14050
DOCK1	-13938
WWP1	-13922
KDM4C	13508
PRKCB	13427
TCF4	13186
KDM6A	-13089
USP7	-12933
SMAD4	-12931
CC2D1A	-12903
CMPK2	-12833
TRAPPC9	12809
CD38	12659
SAMD11	12627
VEZF1	-12495
GRIK2	12480
ADCY5	-12455
CNTN4	12309
ZNF292	-12166
NUP133	11917
TBR1	11788
TBX1	11603
DNER	-11481
MAGEL2	11413
ZNF804A	-11298
RHOXF1	11212
CEP290	10969
DLL1	10929
MECP2	10895
DYRK1A	-10886
AP2S1	-10868
ZBTB16	-10799
KCNC1	-10788
USH2A	10582
ATP1A3	-10472
OPHN1	-10467
NR2F1	10062
PDE1C	-9985
MACROD2	-9938
TSPAN4	9919
SYNJ1	-9891
PER2	-9819
NTRK2	-9609
CASC4	-9312
PTGS2	-9269
SYCE1	-8971
TPO	8923
HDLBP	-8623
KAT6A	8555
PER1	-8438
STYK1	-7913
AGMO	7912
NFIA	7896
NLGN1	-7887
MYO1E	-7874
EXOC5	-7614
ZMYND8	7603
SETD1B	7579
DDX3X	-7085
KMT2A	6367
SON	6007
SDC2	5507
MED13L	-5480
PSD3	5473
TBCK	-5415
UNC79	-5119
AP1S2	4753
EXOC3	3827
VAMP2	3467
